problem_id,original_src,changed_src,error,stderr,token_similarity,syntax_similarity,semantic_similarity,final_similarity
p00001,"num = [int(input()) for i in range(10)]
num.sort(reverse=True)
for i in range[0:3]:
    print(num[i])
","num = [int(input()) for i in range(10)]
num.sort(reverse=True)
for i in range(3):
    print(num[i])
",TypeError: 'type' object is not subscriptable,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00001/Python/s016107060.py"", line 3, in <module>
    for i in range[0:3]:
TypeError: 'type' object is not subscriptable
",0.9,0.7046750285062714,0.9927102327346802,0.8784866016457535
p00003,"import sys

input()
for e in sys.stdin:
    a, b, c = sorted(int(e.split()))
    if a**2 + b**2 == c**2:
        print(""YES"")
    else:
        print(""NO"")
","import sys

input()
for e in sys.stdin:
    a, b, c = sorted(map(int, e.split()))
    if a**2 + b**2 == c**2:
        print(""YES"")
    else:
        print(""NO"")
","TypeError: int() argument must be a string, a bytes-like object or a real number, not 'list'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00003/Python/s173702518.py"", line 4, in <module>
    a, b, c = sorted(int(e.split()))
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'list'
",0.9090909090909091,0.965938864628821,0.9904919266700745,0.9587057027839487
p00003,"while True:
    try:
        input_line = input()
        if input_line == """":
            break
        else:
            nums = list(map(int, input_line.split()))
            max_num = max(nums)
            nums.remove(max_num)
            if max_num**2 == nums[0] ** 2 + nums[1] ** 2:
                print(""YES"")
            else:
                print(""NO"")
    except EOFError:
        break
","n = int(input())
for i in range(0, n):
    nums = list(map(int, input().split()))
    max_num = max(nums)
    nums.remove(max_num)
    if max_num**2 == nums[0] ** 2 + nums[1] ** 2:
        print(""YES"")
    else:
        print(""NO"")
",IndexError: list index out of range,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00003/Python/s398056618.py"", line 10, in <module>
    if max_num**2 == nums[0]**2 + nums[1]**2:
IndexError: list index out of range
",0.6428571428571429,0.690865093768905,0.8563810586929321,0.7426690944649872
p00006,"print(input[::-1])
","print(input()[::-1])
",TypeError: 'builtin_function_or_method' object is not subscriptable,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00006/Python/s441661847.py"", line 1, in <module>
    print(input[::-1])
TypeError: 'builtin_function_or_method' object is not subscriptable
",0.0,0.9322381930184805,0.986298680305481,0.6741909300277366
p00007,"import math

r = 100
n = input()
for i in range(n):
    r = math.ceil(r * 1.05)
print(r * 1000)
","import math

r = 100
n = int(input())
for i in range(n):
    r = math.ceil(r * 1.05)
print(r * 1000)
",TypeError: 'str' object cannot be interpreted as an integer,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00007/Python/s183798433.py"", line 5, in <module>
    for i in range(n):
TypeError: 'str' object cannot be interpreted as an integer
",0.9375,0.9636027143738433,0.9938514232635498,0.967871383617573
p00018,"print(*sorted(map(int, input().spilt()))[::-1])
","print(*sorted(map(int, input().split()))[::-1])
",AttributeError: 'str' object has no attribute 'spilt'. Did you mean: 'split'?,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00018/Python/s371735785.py"", line 1, in <module>
    print(*sorted(map(int, input().spilt()))[::-1])
AttributeError: 'str' object has no attribute 'spilt'. Did you mean: 'split'?
",0.5,0.99609375,0.9220306873321533,0.8176403999328614
p00031,"while True:
    g = int(input())
    now = 512
    ans = []
    while True:
        if g == 0:
            break
        elif g >= now:
            g -= now
            ans.append(now)
        now //= 2
    temp = """"
    for i in ans[::-1]:
        temp += str(i) + "" ""
    print(temp[:-1])
","import sys

for line in sys.stdin:
    g = int(line)
    now = 512
    ans = []
    while True:
        if g == 0:
            break
        elif g >= now:
            g -= now
            ans.append(now)
        now //= 2
    temp = """"
    for i in ans[::-1]:
        temp += str(i) + "" ""
    print(temp[:-1])
",EOFError: EOF when reading a line,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00031/Python/s012591157.py"", line 2, in <module>
    g = int(input())
EOFError: EOF when reading a line
",0.8571428571428571,0.8890183512962424,0.8971766233444214,0.8827190118694984
p00505,"result = [0] * 3
while 1:
    a, b, c = sorted(list(map(int, input().split())))
    if a + b > c:
        flag = c * c - b * b - a * a
        if flag == 0:
            result[0] += 1
        elif flag > 0:
            result[1] += 1
        else:
            result[2] += 1
print(sum(result), *result)
","acute, right, obtuse = 0, 0, 0
while True:
    a, b, c = sorted(map(int, input().split()))
    if a + b <= c:
        print(acute + right + obtuse, right, acute, obtuse)
        break
    d = a**2 + b**2
    e = c**2
    if d == e:
        right += 1
    elif d < e:
        obtuse += 1
    else:
        acute += 1
",EOFError: EOF when reading a line,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p00505/Python/s014459241.py"", line 3, in <module>
    a, b, c = sorted(list(map(int, input().split())))
EOFError: EOF when reading a line
",0.40540540540540543,0.31898003367813327,0.6761440634727478,0.48777325711416075
p00586,"x = input()
while x:
    a, b = x.split("" "")
    print(int(a) + int(b))
","import sys

for line in sys.stdin:
    if line == None or line == ""/n"":
        break
    a, b = line.split("" "")
    print(int(a) + int(b))
",TLE,No Error Output,0.35,0.2838002436053593,0.6974081993103027,0.4691033528057289
p00705,"import collections

while True:
    N, Q = map(int, input().split())
    if N == 0 and Q == 0:
        break
    D = []
    for _ in range(N):
        i = list(map(int, input().split()))
        del i[0]
        [D.append(ii) for ii in i]
    c = collections.Counter(D)
    cc = c.most_common()
    if cc[0][1] >= Q:
        print(cc[0][0])
    else:
        print(0)
","import collections

while True:
    N, Q = map(int, input().split())
    if N == 0 and Q == 0:
        break
    D = []
    for _ in range(N):
        i = list(map(int, input().split()))
        del i[0]
        [D.append(ii) for ii in i]
    if not len(D) == 0:
        c = collections.Counter(D)
        cc = c.most_common()
        # print(cc)
        if cc[0][1] >= Q:
            ans = 1000000
            tmp = cc[0][1]
            for i in range(len(cc)):
                if cc[i][1] == tmp:
                    ans = min(cc[i][0], ans)
            print(ans)
        else:
            print(0)
    else:
        print(0)
",0,No Error Output,0.75,0.6646113905565472,0.8924983739852905,0.7813827667610804
p01140,"from collections import Counter

while True:
    N, M = map(int, input().split())
    if N == 0 and M == 0:
        break
    H = [int(input()) for _ in range(N)]
    W = [int(input()) for _ in range(M)]
    all_H = Counter(
        sorted([sum(H[i:j]) for i in range(N) for j in range(i + 1, N + 1)])
    )
    all_W = Counter(
        sorted([sum(W[i:j]) for i in range(M) for j in range(i + 1, M + 1)])
    )
    ans = 0
    for k, v in all_H.items():
        if k in all_H:
            ans += v * all_W[k]
    print(ans)
","from collections import Counter

while True:
    N, M = map(int, input().split())
    if N == 0 and M == 0:
        break
    H = [int(input()) for _ in range(N)]
    W = [int(input()) for _ in range(M)]

    all_H = []
    for i in range(N):
        s = 0
        for j in range(i, N):
            s += H[j]
            all_H.append(s)

    all_W = []
    for i in range(M):
        s = 0
        for j in range(i, M):
            s += W[j]
            all_W.append(s)

    all_H = Counter(all_H)
    all_W = Counter(all_W)
    ans = 0
    for k, v in all_H.items():
        if k in all_H:
            ans += v * all_W[k]
    print(ans)
",TLE,No Error Output,0.7547169811320755,0.4661060142711519,0.94535893201828,0.7443904714282803
p01981,"while True:
    a = list(map(str, input().split()))
    if a[0] == ""0"":
        break
    elif int(a[1]) <= 30:
        print("" "".join(a))
    elif int(a[1]) == 31 and int(a[2]) <= 4:
        print("" "".join(a))
    else:
        a[0] = ""?""
        s = int(a[1])
        s -= 30
        a[1] = str(s)
        print("" "".join(a))
","while True:
    a = list(map(str, input().split()))
    if a[0] == ""#"":
        break
    elif int(a[1]) <= 30:
        print("" "".join(a))
    elif int(a[1]) == 31 and int(a[2]) <= 4:
        print("" "".join(a))
    else:
        a[0] = ""?""
        s = int(a[1])
        s -= 30
        a[1] = str(s)
        print("" "".join(a))
",IndexError: list index out of range,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p01981/Python/s158524109.py"", line 5, in <module>
    elif int(a[1]) <= 30:
IndexError: list index out of range
",0.9642857142857143,0.9995893223819302,0.9853854179382324,0.9833166781755864
p02235,"q = int(input())
for _ in range(q):
    x = input()
    y = input()
    m = len(x)
    n = len(y)
    c = [0] * (n + 1)
    for i in range(m):
        tmp = x[i]
        c_ = c[:]
        for j in range(n):
            if tmp == y[j]:
                c[j + 1] = c_[j] + 1
            elif c[j + 1] < c[j]:
                c[j + 1] = c[j]
    print(c[-1])
","def lcs(x, y):
    a = len(x)
    b = len(y)
    c1 = [0] * (b + 1)
    for i in range(a):
        e1 = x[i]
        c2 = c1[:]
        for j in range(b):
            if e1 == y[j]:
                c1[j + 1] = c2[j] + 1
            elif c1[j + 1] < c1[j]:
                c1[j + 1] = c1[j]
    return c1[-1]


n = int(input().rstrip())
ret = []
for i in range(n):
    s1 = input().rstrip()
    s2 = input().rstrip()
    ret.append(lcs(s1, s2))
print(*ret, sep=""\n"")
",TLE,No Error Output,0.42857142857142855,0.20323182100683654,0.7183489203453064,0.4768805430116021
p02257,"prime = set([2])
for i in range(3, 100000000, 2):
    for j in prime:
        if i % j == 0:
            break
    else:
        prime.add(i)
n = int(input())
cnt = 0
for i in (int(input()) for _ in range(n)):
    if i in prime:
        cnt += 1
print(cnt)
","import sys
from math import *

readline = sys.stdin.readline


def isPrime(x):
    if x == 2 or x == 3:
        return True
    elif x % 2 == 0 or x % 3 == 0:
        return False
    s = ceil(sqrt(x))
    for i in range(5, s + 1, 2):
        if x % i == 0:
            return False
    return True


print(sum(isPrime(int(readline())) for _ in range(int(input()))))
",TLE,No Error Output,0.3055555555555556,0.3034923757993114,0.5948164463043213,0.42064095792818856
